,Velocity
0,-1532.03000871562
1,-1524.4970848384933
2,-1516.964349279772
3,-1509.4318020347296
4,-1501.8994430986404
5,-1494.3672724668136
6,-1486.8352901345581
7,-1479.303496097149
8,-1471.7718903498958
9,-1464.240472888074
10,-1456.7092437069937
11,-1449.1782028019304
12,-1441.64735016816
13,-1434.1166858010286
14,-1426.5862096957776
15,-1419.0559218477183
16,-1411.5258222521625
17,-1403.9959109043873
18,-1396.4661877997046
19,-1388.9366529333925
20,-1381.407306300728
21,-1373.8781478970245
22,-1366.3491777175948
23,-1358.8203957577175
24,-1351.2918020126713
25,-1343.7633964777701
26,-1336.2351791482927
27,-1328.7071500195536
28,-1321.1793090868327
29,-1313.6516563454093
30,-1306.1241917905988
31,-1298.5969154177164
32,-1291.0698272220422
33,-1283.542927198858
34,-1276.0162153434787
35,-1268.4896916511861
36,-1260.9633561172961
37,-1253.4372087370914
38,-1245.9112495058532
39,-1238.3854784188986
40,-1230.8598954715103
41,-1223.3345006590057
42,-1215.809293976668
43,-1208.28427541978
44,-1200.7594449836602
45,-1193.234802663592
46,-1185.7103484548945
47,-1178.1860823528518
48,-1170.6620043527478
49,-1163.1381144499023
50,-1155.6144126395998
51,-1148.0908989171255
52,-1140.5675732777997
53,-1133.0444357169076
54,-1125.521486229735
55,-1117.998724811603
56,-1110.4761514578327
57,-1102.9537661636753
58,-1095.4315689244527
59,-1087.9095597354515
60,-1080.387738591994
61,-1072.8661054893676
62,-1065.3446604228598
63,-1057.8234033877582
64,-1050.3023343793864
65,-1042.7814533930668
66,-1035.2607604240538
67,-1027.7402554676707
68,-1020.2199385192066
69,-1012.6998095739509
70,-1005.1798686272278
71,-997.6601156743271
72,-990.1405507105736
73,-982.6211737312227
74,-975.1019847315997
75,-967.5829837069952
76,-960.064170652735
77,-952.5455455641104
78,-945.0271084364126
79,-937.5088592649332
80,-929.9907980449991
81,-922.4729247718675
82,-914.9552394408654
83,-907.4377420473203
84,-899.9204325864902
85,-892.4033110537029
86,-884.8863774442517
87,-877.369631753465
88,-869.8530739766018
89,-862.3367041089905
90,-854.8205221459257
91,-847.3045280827365
92,-839.7887219146829
93,-832.2731036370944
94,-824.7576732452663
95,-817.2424307344942
96,-809.727376100108
97,-802.2125093373692
98,-794.6978304416086
99,-787.1833394081223
100,-779.6690362322072
101,-772.1549209091946
102,-764.640993434347
103,-757.1272538029964
104,-749.6137020104401
105,-742.100338051976
106,-734.5871619229368
107,-727.0741736185861
108,-719.561373134257
109,-712.0487604652479
110,-704.5363356068582
111,-697.0240985543869
112,-689.5120493031679
113,-682.0001878484663
114,-674.4885141856169
115,-666.9770283099192
116,-659.4657302166739
117,-651.9546199011818
118,-644.4436973587432
119,-636.9329625846941
120,-629.422415574301
121,-621.9120563229003
122,-614.4018848257936
123,-606.8919010782828
124,-599.3821050756701
125,-591.872496813258
126,-584.3630762863493
127,-576.8538434902465
128,-569.344798420288
129,-561.8359410717769
130,-554.3272714399822
131,-546.8187895202421
132,-539.3104953078612
133,-531.8023887981435
134,-524.2944699863937
135,-516.7867388679165
136,-509.27919543801676
137,-501.7718396920348
138,-494.2646716252412
139,-486.7576912329763
140,-479.25089851051155
141,-471.74429345318777
142,-464.2378760562766
143,-456.73164631511946
144,-449.22560422502323
145,-441.71974978129515
146,-434.21408297920766
147,-426.7086038141033
148,-419.20331228128975
149,-411.69820837607506
150,-404.19329209376764
151,-396.688563429676
152,-389.1840223791088
153,-381.6796689373752
154,-374.1755030997843
155,-366.67152486164565
156,-359.1677342183036
157,-351.66413116503355
158,-344.1607156971455
159,-336.65748780994994
160,-329.15444749875746
161,-321.651594758879
162,-314.1489295856255
163,-306.64645197434334
164,-299.14416192030916
165,-291.6420594188348
166,-284.1401444652323
167,-276.63841705481406
168,-269.1368771828925
169,-261.6355248447803
170,-254.13436003579062
171,-246.63338275123655
172,-239.13259298639693
173,-231.6319907366201
174,-224.13157599722
175,-216.6313487635108
176,-209.1313090307722
177,-201.63145679435348
178,-194.13179204956955
179,-186.63231479170076
180,-179.1330250160625
181,-171.633922718005
182,-164.1350078928094
183,-156.63628053579166
184,-149.13774064226808
185,-141.6393882075552
186,-134.14122322696974
187,-126.64324569582864
188,-119.14545560944912
189,-111.64785296311392
190,-104.15043775217542
191,-96.65320997191682
192,-89.15616961769099
193,-81.65931668478157
194,-74.1626511685072
195,-66.6661730641867
196,-59.16988236713917
197,-51.67377907264923
198,-44.177863176071114
199,-36.682134672689926
200,-29.186593557860345
201,-21.691239826867953
202,-14.196073475033236
203,-6.701094497676898
204,0.7936971098801049
205,8.28830135235125
206,15.782718234380459
207,23.276947760680745
208,30.770989935930217
209,38.26484476480675
210,45.75851225198801
211,53.25199240218603
212,60.74528522004338
213,68.23839071027162
214,75.73130887754748
215,83.2240397265474
216,90.71658326198232
217,98.20893948849358
218,105.7011084107916
219,113.19309003355193
220,120.68488436144985
221,128.17649139916045
222,135.6679111513932
223,143.15914362278812
224,150.65018881805418
225,158.1410467419001
226,165.63171739896524
227,173.12220079395786
228,180.61249693155136
229,188.10260581641901
230,195.59252745323377
231,203.08226184670292
232,210.57180900146446
233,218.06116892222522
234,225.55034161369184
235,233.0393270805015
236,240.52812532736044
237,248.01673635893994
238,255.50516017994573
239,262.9933967950141
240,270.48144620885023
241,277.96930842612454
242,285.4569834515418
243,292.94447128977197
244,300.4317719454847
245,307.91888542334954
246,315.40581172807015
247,322.8925508643157
248,330.37910283675495
249,337.86546765005636
250,345.3516453089228
251,352.83763581802236
252,360.32343918205754
253,367.8090554056613
254,375.2944844935355
255,382.779726450382
256,390.264781280833
257,397.74964898962435
258,405.23432958138795
259,412.71882306082455
260,420.2031294326001
261,427.6872487013803
262,435.17118087186526
263,442.6549259487203
264,450.1384839366104
265,457.62185484023485
266,465.1050386642583
267,472.58803541337966
268,480.07084509226297
269,487.55346770557213
270,495.03590325800525
271,502.5181517542258
272,510.000213198897
273,517.4820875967163
274,524.9637749523462
275,532.4452752704495
276,539.9265885557228
277,547.4077148128625
278,554.8886540464962
279,562.3694062613541
280,569.8499714620633
281,577.3303496533192
282,584.8105408397827
283,592.290545026149
284,599.7703622170783
285,607.2499924172654
286,614.7294356313702
287,622.2086918640869
288,629.6877611200748
289,637.1666434039931
290,644.6453387205356
291,652.1238470743606
292,659.6021684701616
293,667.0803029125964
294,674.5582504063234
295,682.0360109560347
296,689.5135845664224
297,696.990971242144
298,704.4681709878566
299,711.9451838082514
300,719.4220097080196
301,726.8986486918176
302,734.3751007643016
303,741.8513659301622
304,749.3274441940548
305,756.8033355606696
306,764.2790400346618
307,771.7545576207208
308,779.2298883235014
309,786.7050321476929
310,794.1799890979493
311,801.6547591789592
312,809.1293423954111
313,816.6037387519585
314,824.0779482532547
315,831.5519709039876
316,839.0258067088098
317,846.4994556724085
318,853.972917799471
319,861.4461930946491
320,868.9192815625948
321,876.3921832080291
322,883.8648980355689
323,891.3374260499343
324,898.8097672557418
325,906.2819216577115
326,913.7538892604939
327,921.2256700687391
328,928.697264087132
329,936.1686713203566
330,943.6398917730628
331,951.1109254499345
332,958.581772355621
333,966.0524324948053
334,973.5229058721708
335,980.9931924923661
336,988.4632923600738
337,995.933205479942
338,1003.4029318566529
339,1010.8724714948539
340,1018.3418243992271
341,1025.8109905744539
342,1033.2799700252153
343,1040.7487627561584
344,1048.2173687719294
345,1055.6857880772434
346,1063.1540206767118
347,1070.622066575049
348,1078.0899257769008
349,1085.557598286947
350,1093.0250841098323
351,1100.4923832502357
352,1107.9594957128365
353,1115.4264215023134
354,1122.8931606233105
355,1130.3597130804717
356,1137.826078878509
357,1145.292258022066
358,1152.7582505157864
359,1160.224056364381
360,1167.6896755724936
361,1175.1551081448
362,1182.620354085943
363,1190.0854134005986
364,1197.5502860934434
365,1205.014972169153
366,1212.479471632369
367,1219.9437844877664
368,1227.4079107399868
369,1234.8718503937387
370,1242.3356034536625
371,1249.7991699243994
372,1257.262549810657
373,1264.7257431170751
374,1272.1887498483281
375,1279.651570009089
376,1287.1142036039969
377,1294.5766506377254
378,1302.0389111149468
379,1309.500985040334
380,1316.9628724185245
381,1324.4245732541915
382,1331.886087552006
383,1339.3474153166062
384,1346.8085565526974
385,1354.2695112649167
386,1361.7302794579348
387,1369.1908611364227
388,1376.6512563050167
389,1384.111464968387
390,1391.5714871312036
391,1399.0313227981362
392,1406.4909719738205
393,1413.95043466296
394,1421.4097108701897
395,1428.8688006001782
396,1436.327703857594
397,1443.786420647072
398,1451.244950973314
399,1458.703294840954
400,1466.1614522546595
401,1473.6194232190642
402,1481.077207738869
403,1488.5348058187067
404,1495.9922174632793
405,1503.4494426772178
406,1510.9064814651897
407,1518.3633338318605
